game,branch,team,software,paper_game,paper,number_teammates,attendance,max_skill,min_skill,reproduction,time_reproduction,time2_reproduction,minor_errors,time_first_minor,time2_first_minor,major_errors,time_first_major,time2_first_major,good_robustness,one_good_robustness,two_good_robustness,ran_robustness,ran_one_robustness,ran_two_robustness,min_gpt,max_gpt,combined_coding,min_coding,max_coding,followup_responces,x24,game2,combined_follow,prompts,files,images,words,min_skill_num,max_skill_num,min_gpt_num,max_gpt_num,min_professor,min_postdoc,min_researcher,min_student,max_professor,max_postdoc,max_researcher,max_student,min_gpt_never,min_gpt_beginner,min_gpt_intermediate,min_gpt_advanced,max_gpt_never,max_gpt_beginner,max_gpt_intermediate,max_gpt_advanced
Bogota,AI-Assisted,2.0,Stata,Paper 1, Saving Accounts’ Interplay With Network-Based Financial Arrangements: Evidence From A Field Experiment,2,In-Person,Professor,Student,1,1899-12-31T09:54:00Z,54,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Beginner,5,Proficient,Proficient,1,NA,Bogota,5,37,4,0,17032,1,4,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
Bogota,AI-Assisted,3.0,Stata,Paper 1, Saving Accounts’ Interplay With Network-Based Financial Arrangements: Evidence From A Field Experiment,3,In-Person,Researcher,Student,1,1899-12-31T11:31:00Z,151,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Never,Never,8,Expert,Expert,1,NA,Bogota,8,22,3,0,11495,1,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
Bogota,Human-Only,5.0,Stata,Paper 1, Saving Accounts’ Interplay With Network-Based Financial Arrangements: Evidence From A Field Experiment,2,In-Person,Researcher,Student,1,1899-12-31T11:15:00Z,135,1,1899-12-31T10:25:00Z,85,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Intermediate,Advanced,3,Advanced Beginner,Advanced Beginner,1,NA,Bogota,3,0,0,0,0,1,2,3,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Bogota,AI-Assisted,1.0,R,Paper 2, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,2,In-Person,Student,Student,1,1899-12-31T10:15:00Z,75,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Beginner,4,Competent,Competent,1,NA,Bogota,4,40,4,0,16855,1,1,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Bogota,Human-Only,4.0,R,Paper 2, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,2,In-Person,Student,Student,1,1899-12-31T10:47:00Z,107,0,NA,NA,1,1899-12-31T12:03:00Z,183,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,2,Competent,Competent,1,NA,Bogota,2,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Bogota,AI-Led,6.0,R,Paper 2, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,2,Virtual,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,12,Proficient,Proficient,2,NA,Bogota,6,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Cornell,AI-Assisted,7r,R,Paper 1, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,2,Virtual,Postdoc,Student,1,1899-12-31T09:41:00Z,41,0,NA,NA,2,1899-12-31T11:11:00Z,131,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Intermediate,15,Proficient,Proficient,2,NA,Cornell,7.5,13,3,0,8335,1,3,3,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Cornell,Human-Only,1r,R,Paper 1, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,3,In-Person,Professor,Student,1,1899-12-31T10:10:00Z,70,1,1899-12-31T13:57:00Z,297,1,1899-12-31T10:51:00Z,111,2,TRUE,TRUE,2,TRUE,TRUE,Never,Intermediate,24,Proficient,Expert,3,NA,Cornell,8,0,0,0,0,1,4,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Cornell,AI-Assisted,3r,R,Paper 1, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,3,In-Person,Postdoc,Student,1,1899-12-31T10:37:00Z,97,0,NA,NA,0,1899-12-31T13:44:00Z,284,2,TRUE,TRUE,2,TRUE,TRUE,Never,Intermediate,20,Proficient,Proficient,2,NA,Cornell,10,39,9,0,20513,1,3,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Cornell,AI-Led,2r,R,Paper 1, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,2,In-Person,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,Intermediate,Advanced,14,Proficient,Expert,2,NA,Cornell,7,0,0,0,0,1,1,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Cornell,AI-Led,8r,R,Paper 1, Acquiescence Bias Inflates Estimates Of Conspiratorial Beliefs And Political Misperceptions,3,Virtual,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,10,Advanced Beginner,Competent,2,NA,Cornell,5,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Cornell,AI-Assisted,5s,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Researcher,1,1899-12-31T10:30:00Z,90,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,20,Competent,Expert,2,NA,Cornell,10,12,2,0,4633,2,4,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Cornell,Human-Only,1s,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,In-Person,Student,Student,1,1899-12-31T10:32:00Z,92,1,1899-12-31T10:20:00Z,80,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Advanced,Advanced,10,Expert,Expert,1,NA,Cornell,10,0,0,0,0,1,1,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Cornell,AI-Led,6s,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Student,1,1899-12-31T13:33:00Z,273,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Advanced,Advanced,13,Proficient,Proficient,2,NA,Cornell,6.5,0,0,0,0,1,4,4,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Ottawa,AI-Assisted,5r,R,Paper 1, Arrests And Convictions But Not Sentence Length Deter Terrorism In 28 European Union Member States,2,Virtual,Student,Student,1,1899-12-31T15:23:00Z,383,0,NA,NA,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,NA,NA,9,Advanced Beginner,Competent,2,NA,Ottawa,4.5,69,7,2,34616,1,1,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ottawa,Human-Only,1r,R,Paper 1, Arrests And Convictions But Not Sentence Length Deter Terrorism In 28 European Union Member States,3,In-Person,Student,Student,0,NA,NA,1,1899-12-31T11:00:00Z,120,2,1899-12-31T09:45:00Z,45,2,TRUE,TRUE,2,TRUE,TRUE,Never,Advanced,34,Competent,Expert,4,NA,Ottawa,8.5,0,0,0,0,1,1,1,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Ottawa,Human-Only,4r,R,Paper 1, Arrests And Convictions But Not Sentence Length Deter Terrorism In 28 European Union Member States,2,Virtual,Postdoc,Student,0,NA,NA,0,NA,NA,1,1899-12-31T13:12:00Z,252,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Beginner,6,Advanced Beginner,Proficient,2,NA,Ottawa,3,0,0,0,0,1,3,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
Ottawa,AI-Led,3r,R,Paper 1, Arrests And Convictions But Not Sentence Length Deter Terrorism In 28 European Union Member States,3,In-Person,Professor,Student,0,NA,NA,0,NA,NA,0,1899-12-31T10:00:00Z,60,0,FALSE,FALSE,0,FALSE,FALSE,Intermediate,Advanced,16,Competent,Expert,2,NA,Ottawa,8,0,0,0,0,1,4,3,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Ottawa,AI-Led,6r,R,Paper 1, Arrests And Convictions But Not Sentence Length Deter Terrorism In 28 European Union Member States,2,In-Person,Professor,Student,0,NA,NA,0,NA,NA,1,1899-12-31T11:21:00Z,141,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,26,Competent,Proficient,3,NA,Ottawa,8.666666666666666,0,0,0,0,1,4,2,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Ottawa,Human-Only,7.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,3,In-Person,Professor,Student,1,1899-12-31T09:58:00Z,58,1,1899-12-31T09:50:00Z,50,2,1899-12-31T12:00:00Z,180,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Intermediate,21,Advanced Beginner,Proficient,3,NA,Ottawa,7,0,0,0,0,1,4,3,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Ottawa,AI-Assisted,5.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,4,In-Person,Professor,Student,1,1899-12-31T10:10:00Z,70,1,1899-12-31T12:05:00Z,185,2,1899-12-31T10:12:00Z,72,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,15,Proficient,Proficient,2,NA,Ottawa,7.5,23,8,4,9082,1,4,2,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Ottawa,AI-Assisted,2.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,2,In-Person,Professor,Student,1,1899-12-31T10:20:00Z,80,1,1899-12-31T09:45:00Z,45,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Beginner,13,Proficient,Expert,2,NA,Ottawa,6.5,13,4,0,10749,1,4,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
Ottawa,Human-Only,4.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,2,Virtual,Postdoc,Student,1,1899-12-31T10:25:00Z,85,3,1899-12-31T09:00:00Z,0,2,1899-12-31T10:00:00Z,60,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,24,Competent,Proficient,2,NA,Ottawa,12,0,0,0,0,1,3,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Ottawa,Human-Only,1.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,3,In-Person,Professor,Student,1,1899-12-31T11:00:00Z,120,1,1899-12-31T14:00:00Z,300,1,1899-12-31T14:00:00Z,300,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Intermediate,25,Proficient,Expert,2,NA,Ottawa,12.5,0,0,0,0,1,4,3,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Ottawa,AI-Led,3.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,3,In-Person,Professor,Student,0,NA,NA,1,1899-12-31T14:30:00Z,330,1,1899-12-31T15:02:00Z,362,1,TRUE,FALSE,0,FALSE,FALSE,Never,Intermediate,42,Proficient,Proficient,3,NA,Ottawa,14,0,0,0,0,1,4,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Ottawa,AI-Led,6.0,Stata,Paper 2, Major Reforms In Electricity Pricing: Evidence From A Quasi-Experiment,2,Virtual,Professor,Postdoc,0,NA,NA,0,NA,NA,0,NA,NA,0,FALSE,FALSE,0,FALSE,FALSE,Beginner,Intermediate,20,Proficient,Expert,2,NA,Ottawa,10,0,0,0,0,3,4,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,Human-Only,1.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,In-Person,Professor,Student,1,1899-12-31T11:50:00Z,170,1,1899-12-31T11:00:00Z,120,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,17,Advanced Beginner,Proficient,3,NA,Sheffield,5.666666666666667,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,Human-Only,2.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,In-Person,Student,Student,1,1899-12-31T10:17:00Z,77,1,1899-12-31T10:25:00Z,85,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,15,Competent,Proficient,3,NA,Sheffield,5,0,0,0,0,1,1,2,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Sheffield,AI-Assisted,3.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,2,In-Person,Student,Student,1,1899-12-31T10:02:00Z,62,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,4,Competent,Competent,1,NA,Sheffield,4,91,42,0,36761,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,4.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,2,In-Person,Student,Student,1,1899-12-31T10:04:00Z,64,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,16,Competent,Proficient,2,NA,Sheffield,8,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,5.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,2,In-Person,Professor,Student,1,1899-12-31T14:07:00Z,307,0,NA,NA,0,NA,NA,1,TRUE,FALSE,1,TRUE,FALSE,Beginner,Intermediate,18,Competent,Proficient,2,NA,Sheffield,9,59,13,1,25985,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Led,6.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,In-Person,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,0,FALSE,FALSE,1,FALSE,FALSE,Beginner,Advanced,15,Competent,Expert,3,NA,Sheffield,5,0,0,0,0,1,1,2,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Sheffield,AI-Led,7.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,In-Person,Professor,Student,1,1899-12-31T11:48:00Z,168,0,NA,NA,0,NA,NA,0,FALSE,FALSE,2,FALSE,FALSE,Beginner,Intermediate,39,Novice,Competent,3,NA,Sheffield,13,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,Human-Only,9.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Professor,Student,1,1899-12-31T10:08:00Z,68,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Advanced,27,Competent,Expert,2,NA,Sheffield,13.5,0,0,0,0,1,4,3,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Sheffield,AI-Led,10.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Professor,Researcher,0,NA,NA,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,27,Proficient,Proficient,3,NA,Sheffield,9,0,0,0,0,2,4,2,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Led,11.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Postdoc,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,35,Competent,Expert,3,NA,Sheffield,11.666666666666666,0,0,0,0,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,12.0,R,Paper 1, Taste-Based Gender Favouritism In High-Stake Decisions: Evidence From The Price Is Right,3,Virtual,Postdoc,Student,1,1899-12-31T09:39:00Z,39,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,22,Advanced Beginner,Expert,3,NA,Sheffield,7.333333333333333,25,6,0,24065,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Sheffield,AI-Assisted,13.0,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Postdoc,1,1899-12-31T10:15:00Z,75,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,11,Advanced Beginner,Expert,2,NA,Sheffield,5.5,7,0,0,0,3,4,2,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Sheffield,AI-Led,14.0,Stata,Paper 2, The Heterogeneous Tax Pass-Through Under Different Vertical Relationships,2,Virtual,Professor,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,0,FALSE,FALSE,Beginner,Intermediate,14,Competent,Expert,2,NA,Sheffield,7,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,Human-Only,2r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,Virtual,Student,Student,1,1899-12-31T10:18:00Z,78,1,1899-12-31T09:47:00Z,47,0,NA,NA,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,27,Advanced Beginner,Proficient,3,NA,Tilburg,9,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
Tilburg,Human-Only,6r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,Virtual,Postdoc,Student,1,1899-12-31T11:12:00Z,132,1,1899-12-31T11:27:00Z,147,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,16,Competent,Expert,3,NA,Tilburg,5.333333333333333,0,0,0,0,1,3,2,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Tilburg,AI-Assisted,5r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,Virtual,Postdoc,Student,1,1899-12-31T11:30:00Z,150,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,18,Novice,Proficient,3,NA,Tilburg,6,130,27,9,68041,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Assisted,1r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,2,In-Person,Professor,Student,0,NA,NA,2,1899-12-31T10:06:00Z,66,2,1899-12-31T10:43:00Z,103,2,TRUE,TRUE,0,FALSE,FALSE,Beginner,Intermediate,32,Proficient,Expert,2,NA,Tilburg,16,14,4,4,9542,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Led,3r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,In-Person,Student,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Intermediate,Advanced,17,Competent,Competent,3,NA,Tilburg,5.666666666666667,82,18,9,51268,1,1,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Tilburg,AI-Led,4r,R,Paper 1, Do Policymakers Listen To Experts? Evidence From A National Survey Of Local And State Policymakers,3,In-Person,Professor,Student,0,NA,NA,0,NA,NA,0,NA,NA,1,TRUE,FALSE,2,TRUE,FALSE,Beginner,Intermediate,20,Competent,Proficient,3,NA,Tilburg,6.666666666666667,311,0,0,97540,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Assisted,1s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,3,In-Person,Professor,Professor,1,1899-12-31T10:10:00Z,70,1,1899-12-31T11:55:00Z,175,3,1899-12-31T10:30:00Z,90,2,TRUE,TRUE,2,TRUE,TRUE,Intermediate,Advanced,19,Advanced Beginner,Expert,2,NA,Tilburg,9.5,52,20,0,10580,4,4,3,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Tilburg,Human-Only,2s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,2,In-Person,Professor,Student,1,1899-12-31T11:20:00Z,140,0,NA,NA,3,1899-12-31T15:15:00Z,375,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,22,Advanced Beginner,Expert,3,NA,Tilburg,7.333333333333333,0,0,0,0,1,4,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Tilburg,AI-Led,3s,Stata,Paper 2, Examining Inequality In The Time Cost Of Waiting,3,Virtual,Postdoc,Student,1,1899-12-31T11:49:00Z,169,0,NA,NA,0,NA,NA,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Intermediate,7,Competent,Competent,1,NA,Tilburg,7,36,12,2,15174,1,3,2,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Toronto,AI-Assisted,q,R,Paper 1, Sorting Or Steering: The Effects Of Housing Discrimination On Neighborhood Choice,3,Virtual,Professor,Postdoc,1,1899-12-31T09:25:00Z,25,7,1899-12-31T09:36:00Z,36,1,1899-12-31T10:32:00Z,92,2,TRUE,TRUE,2,TRUE,TRUE,Beginner,Advanced,18,Competent,Proficient,3,NA,Toronto,6,0,0,0,0,3,4,2,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
